image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
14845,88.26,-1,-1,96.37
11828,-1,-1,-1,0.0
11539,94.27,0.0,-1,-1
15359,98.79,-1,-1,-1
10839,-1,-1,21.78,89.66
11237,99.76,92.09,-1,7.28
12712,96.76,94.94,92.6,-1
15402,97.84,-1,-1,-1
12066,-1,-1,-1,-1
11682,-1,7.06,-1,77.24
12116,-1,97.94,-1,97.72
12697,-1,-1,-1,-1
12816,37.37,51.49,-1,-1
14740,-1,98.36,-1,-1
12308,82.04,77.87,90.7,-1
16498,94.56,97.52,-1,-1
16296,96.35,-1,-1,-1
13965,90.15,0.0,-1,-1
15875,-1,-1,-1,-1
11892,-1,-1,-1,-1
14906,60.27,-1,-1,-1
12117,-1,69.67,-1,91.73
10944,-1,95.75,-1,-1
12745,-1,-1,-1,-1
13657,90.49,33.23,99.55,89.82
12623,-1,90.91,99.7,-1
11662,97.47,0.0,-1,0.0
12405,-1,76.6,26.9,96.23
12331,-1,72.14,79.34,-1
10931,-1,-1,-1,31.43
12900,0.0,-1,-1,92.7
11594,-1,-1,-1,93.45
15562,-1,-1,-1,-1
14821,-1,-1,89.22,-1
15840,90.01,80.05,-1,-1
15183,-1,-1,97.5,-1
12090,-1,-1,-1,-1
12819,-1,87.32,27.33,2.05
12542,-1,95.64,86.41,97.1
12972,-1,-1,-1,-1
11561,95.3,0.0,51.5,-1
13245,98.97,-1,-1,-1
10907,96.92,-1,-1,-1
12372,-1,-1,-1,-1
15339,-1,-1,-1,-1
14044,-1,-1,-1,-1
14119,97.9,-1,19.9,-1
15358,98.97,-1,-1,-1
14021,-1,0.0,-1,-1
14055,92.95,92.15,90.27,-1
10929,-1,-1,-1,98.45
14532,99.5,97.44,-1,-1
12330,-1,-1,99.38,-1
15150,-1,-1,-1,-1
14265,-1,-1,-1,-1
14001,-1,-1,-1,-1
14294,96.39,-1,-1,-1
10943,-1,94.22,-1,-1
14161,95.76,-1,-1,-1
11303,-1,0.0,-1,-1
12680,0.0,50.75,77.17,-1
13345,-1,-1,-1,80.77
12457,-1,-1,98.71,90.23
13120,68.51,95.89,-1,-1
15357,98.27,-1,-1,-1
