image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12330,-1,-1,100.0,-1
15150,-1,-1,-1,-1
14265,-1,-1,-1,-1
14001,-1,-1,-1,-1
14294,94.66,-1,-1,-1
10943,-1,86.71,-1,-1
14161,95.07,-1,-1,-1
11303,-1,14.91,-1,-1
12680,0.0,30.61,46.79,-1
13345,-1,-1,-1,26.94
12457,-1,-1,99.86,79.13
13120,75.68,95.27,-1,-1
15357,98.02,-1,-1,-1
